stimulus_type,stimulus_name,face,music,odor,hedo_rt,hedo,emo_rt,emo,fam_rt,fam,compl_rt,compl,subject,hedo_scaled,hedo_zscore,emo_scaled,emo_zscore,fam_scaled,fam_zscore,compl_scaled,compl_zscore,version
face,V02,V02,,,1818.0,172.0,1858.0,280.0,2089.0,348.0,4208.0,158.0,S03-CBS,8.44,1.1297259460382214,5.6000000000000005,0.3656295347845231,6.959999999999999,0.7816584481032338,3.16,-0.9473891740485132,1.0
music,M17,,M17,,1158.0,179.0,1398.0,304.0,1579.0,62.0,,,S03-CBS,8.58,1.1838419338987998,6.08,0.6151132195363465,1.24,-1.3698539463672252,,,1.0
music,M08,,M08,,866.0,-176.0,1496.0,80.0,2660.0,59.0,2408.0,63.0,S03-CBS,1.48,-1.5606117361733935,1.6,-1.7134011714806707,1.18,-1.392422258197335,1.26,-1.789946481056646,1.0
face,V10,V10,,,2799.0,18.0,2067.0,237.0,2035.0,52.0,1166.0,41.0,S03-CBS,5.36,-0.0608257868945046,4.74,-0.0813620670624935,1.04,-1.445081652467591,0.8200000000000001,-1.9850650153111609,1.0
odor,13,,,13.0,3688.0,-41.0,4705.0,107.0,4179.0,104.0,3859.0,233.0,S07-BSC,4.18,-0.9446273083694527,2.14,-1.8731372544937872,2.08,-0.7390022147106816,4.66,-0.6967647443445554,1.0
music,M12,,M12,,1804.0,58.0,,,,,3907.0,364.0,S07-BSC,6.16,0.0230531849953498,,,,,7.279999999999999,1.330728394687957,1.0
face,V02,V02,,,1867.0,120.0,2781.0,270.0,2182.0,102.0,2451.0,242.0,S07-BSC,7.4,0.6290753121531051,5.4,0.195875500835319,2.04,-0.753715632208678,4.84,-0.5574713225789629,1.0
face,V06,V06,,,1538.0,-44.0,3406.0,116.0,2352.0,82.0,2939.0,330.0,S07-BSC,4.12,-0.9739509596835376,2.3200000000000003,-1.7588972864081311,1.64,-0.9008498071886408,6.6000000000000005,0.8045088013512742,1.0
face,V07,V07,,,1178.0,-35.0,,,3156.0,195.0,,,S07-BSC,4.3,-0.885980005741283,,,3.9,-0.0695417185518504,,,1.0
music,M18,,M18,,1607.0,40.0,2532.0,268.0,2163.0,107.0,2517.0,271.0,S07-BSC,5.8,-0.1528887228891597,5.36,0.1704888412607288,2.14,-0.7169320884636872,5.42,-0.1086369635564984,1.0
face,V11,V11,,,,,,,2810.0,187.0,,,S07-BSC,,,,,3.74,-0.1283953885438356,,,1.0
odor,6,,,6.0,2775.0,42.0,3989.0,101.0,2718.0,297.0,3780.0,258.0,S07-BSC,5.84,-0.1333396220131031,2.02,-1.949297233217558,5.94,0.6808425738459603,5.16,-0.3098385727734653,1.0
odor,16,,,16.0,2717.0,-40.0,4479.0,276.0,3930.0,405.0,2809.0,266.0,S07-BSC,4.2,-0.9348527579314244,5.5200000000000005,0.2720354795590898,8.100000000000001,1.47536711873776,5.32,-0.1860221978707164,1.0
music,M11,,M11,,2747.0,92.0,4618.0,228.0,3121.0,110.0,2857.0,299.0,S07-BSC,6.840000000000001,0.3553878998883123,4.5600000000000005,-0.3372443502310764,2.2,-0.6948619622166928,5.98,0.3247203486031225,1.0
music,M14,,M14,,2471.0,80.0,2217.0,259.0,3619.0,189.0,2448.0,209.0,S07-BSC,6.6000000000000005,0.2380932946319726,5.18,0.0562488731750726,3.78,-0.1136819710458393,4.18,-1.068213869052802,1.0
odor,5,,,5.0,1756.0,-64.0,2278.0,190.0,2759.0,107.0,4414.0,138.0,S07-BSC,3.72,-1.169441968444104,3.8,-0.8195908821482915,2.14,-0.7169320884636872,2.76,-2.167084196314698,1.0
music,M15,,M15,,1029.0,120.0,2532.0,292.0,2290.0,167.0,2814.0,239.0,S07-BSC,7.4,0.6290753121531051,5.84,0.4751287561558119,3.3400000000000003,-0.2755295635237985,4.779999999999999,-0.6039024631674937,1.0
odor,11,,,11.0,3661.0,-127.0,3295.0,231.0,1810.0,432.0,2279.0,330.0,S07-BSC,2.46,-1.7852386460398877,4.62,-0.299164360869191,8.64,1.6739982549607098,6.6000000000000005,0.8045088013512742,1.0
